cluster,recency,frequency,monetary,tenure,ipt_mean,ipt_std,avg_ticket,monetary_std,return_rate,unique_products,weekend_purchase_pct,total_items,avg_unit_price,product_concentration,n_clientes
0,44.11,6.37,2435.12,295.83,82.01,38.46,423.35,24.45,0.0,93.07,0.09,1406.15,3.18,0.13,1615
1,219.19,1.72,445.07,255.39,21.51,4.23,266.99,15.93,0.0,22.01,0.02,248.98,3.98,0.31,1083
2,9.96,38.04,15895.13,350.42,17.89,18.21,1080.19,93.0,0.0,280.79,0.07,8884.42,3.19,0.1,71
3,104.46,2.48,640.14,210.08,56.54,13.87,260.6,9.34,0.0,58.78,0.87,372.92,3.0,0.16,395
4,42.86,2.27,752.59,89.36,20.49,6.76,339.61,13.16,0.0,42.41,0.05,472.68,2.92,0.16,1166
