cluster,recency,frequency,monetary,tenure,ipt_mean,ipt_std,avg_ticket,monetary_std,return_rate,unique_products,weekend_purchase_pct,total_items,avg_unit_price,product_concentration,n_clientes
0,58.45,2.33,724.14,119.91,29.61,8.56,319.62,12.19,0.0,46.55,0.26,447.44,2.94,0.16,1561
1,44.11,6.37,2435.12,295.83,82.01,38.46,423.35,24.45,0.0,93.07,0.09,1406.15,3.18,0.13,1615
2,9.96,38.04,15895.13,350.42,17.89,18.21,1080.19,93.0,0.0,280.79,0.07,8884.42,3.19,0.1,71
3,219.19,1.72,445.07,255.39,21.51,4.23,266.99,15.93,0.0,22.01,0.02,248.98,3.98,0.31,1083
